RunID,num_epochs,lr,epoch_decay,fine_tune_at,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,10,0.0001,1.0,260,0.275792301,0.474207699,0.525117993,0.551584601,0.580242753,0.615643978,0.642616332,0.673297346,0.711058676,0.731962264,0.469594598,0.528716207,0.545608103,0.5625,0.58614862,0.599662185,0.597972989,0.612331092,0.63260138,0.650337815
2,10,0.001,1.0,260,0.458867162,0.616992593,0.734996617,0.811193526,0.860586643,0.895144999,0.913688481,0.931726217,0.943695188,0.945043802,0.530405402,0.630912185,0.630067587,0.64864862,0.67567569,0.657939196,0.688344598,0.690878391,0.684966207,0.694256783
3,10,0.01,1.0,260,0.502022922,0.668071449,0.767026305,0.832602859,0.855360746,0.883007407,0.903910995,0.917397141,0.933074832,0.93290627,0.603040516,0.662162185,0.65625,0.686655402,0.683277011,0.700168908,0.708614886,0.720439196,0.69932431,0.714527011
4,10,0.001,0.9,260,0.443358064,0.613283873,0.716453135,0.793155789,0.852494955,0.88418746,0.91267699,0.929871857,0.93745786,0.944369495,0.560810804,0.630067587,0.652027011,0.66385138,0.67989862,0.69510138,0.696790516,0.692567587,0.702702701,0.690878391
5,10,0.001,0.7,260,0.359238029,0.554113269,0.632838845,0.675826013,0.710552931,0.745279849,0.763486147,0.777140915,0.791301429,0.801921785,0.538006783,0.586993217,0.610641897,0.635135114,0.654560804,0.65625,0.65625,0.654560804,0.660472989,0.660472989
6,10,0.003,1.0,260,0.484828055,0.66638571,0.775117993,0.833951473,0.875084281,0.904079556,0.917397141,0.930209041,0.943189502,0.948921084,0.614864886,0.609797299,0.647804081,0.681587815,0.679054081,0.693412185,0.69510138,0.701858103,0.694256783,0.70692569
7,10,0.003,0.9,260,0.469150364,0.641267717,0.76011461,0.832265675,0.877950072,0.918745756,0.934254885,0.943358064,0.949932575,0.955664217,0.565878391,0.664695919,0.66385138,0.655405402,0.66385138,0.679054081,0.701013505,0.690033793,0.682432413,0.700168908
8,10,0.003,0.7,260,0.461732984,0.631658792,0.74814564,0.812710702,0.866824031,0.88604182,0.9062711,0.921105862,0.920768738,0.924140275,0.579391897,0.64442569,0.670608103,0.6875,0.684121609,0.688344598,0.697635114,0.689189196,0.690033793,0.691722989
9,10,0.01,0.9,260,0.501517177,0.665037096,0.772926509,0.831254244,0.874409974,0.900370896,0.92279166,0.933243454,0.94302088,0.956001341,0.596283793,0.642736495,0.671452701,0.6875,0.680743217,0.66385138,0.704391897,0.705236495,0.717060804,0.717060804
10,10,0.01,0.7,260,0.488536745,0.635030329,0.740053952,0.817599475,0.864126742,0.898347914,0.917565763,0.924983144,0.935772061,0.931894779,0.576858103,0.625,0.674831092,0.684121609,0.69510138,0.689189196,0.708614886,0.708614886,0.70692569,0.709459484
11,10,0.003,0.9,250,0.495279849,0.669588685,0.802258909,0.885367513,0.934254885,0.948415399,0.964261651,0.971341848,0.975556314,0.978590667,0.577702701,0.60557431,0.695945919,0.676520288,0.596283793,0.701858103,0.679054081,0.711993217,0.733952701,0.719594598
12,10,0.003,0.9,200,0.446392447,0.621038437,0.762980461,0.855529308,0.904753864,0.940660834,0.962070107,0.971679032,0.975387752,0.978759289,0.558277011,0.664695919,0.673141897,0.735641897,0.767736495,0.688344598,0.794763505,0.792229712,0.80067569,0.797297299
13,10,0.003,0.9,150,0.415879965,0.434254885,0.434254885,0.434254885,0.435266346,0.476230621,0.515171945,0.527646661,0.535738349,0.536244094,0.440033793,0.440033793,0.440033793,0.421452701,0.326858103,0.332770258,0.542229712,0.456081092,0.46875,0.371621609
14,10,0.003,0.9,100,0.409811199,0.433917731,0.435266346,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.440033793,0.243243247,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244
15,10,0.003,0.9,50,0.40441671,0.488368183,0.521577895,0.531186759,0.538772762,0.542650044,0.551584601,0.556473374,0.557147682,0.564396501,0.440033793,0.513513505,0.440033793,0.48817569,0.440033793,0.442567557,0.440033793,0.520270288,0.592905402,0.590371609
16,10,0.01,0.7,250,0.448415369,0.493931234,0.572488189,0.669925809,0.707855701,0.744268358,0.803101838,0.839008749,0.86210382,0.878961563,0.440033793,0.14273648,0.477195948,0.521114886,0.26182431,0.360641897,0.588682413,0.693412185,0.708614886,0.710304081
17,10,0.01,0.7,200,0.430546194,0.440323681,0.488873899,0.518712044,0.533546865,0.539952815,0.546021581,0.545347273,0.553101838,0.553101838,0.440033793,0.450168908,0.474662155,0.506756783,0.554054081,0.559121609,0.560810804,0.559121609,0.559121609,0.57432431
18,10,0.01,0.7,150,0.418745786,0.434254885,0.434254885,0.434423476,0.446055293,0.493931234,0.508091688,0.515340507,0.522926509,0.527815223,0.440033793,0.440033793,0.440033793,0.440033793,0.440033793,0.490709454,0.506756783,0.522804081,0.542229712,0.551520288
19,10,0.01,0.7,100,0.425826043,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244
20,10,0.01,0.7,50,0.425994605,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.434254885,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244,0.055743244
21,10,0.001,1.0,250,0.436783552,0.637390435,0.774949431,0.870195568,0.914868534,0.948752522,0.955832779,0.962913036,0.969993234,0.971004725,0.549831092,0.662162185,0.670608103,0.660472989,0.673141897,0.679054081,0.625,0.690033793,0.707770288,0.703547299
22,10,0.001,1.0,200,0.460890085,0.643964946,0.750505745,0.845246136,0.912845612,0.940155089,0.961901546,0.968644619,0.972353339,0.974882007,0.544763505,0.69932431,0.621621609,0.748310804,0.731418908,0.75760138,0.78125,0.76182431,0.768581092,0.734797299
23,10,0.001,1.0,150,0.453472704,0.641773403,0.78304112,0.864295363,0.913688481,0.945380986,0.956338525,0.964093029,0.96965611,0.975893438,0.559966207,0.709459484,0.723817587,0.735641897,0.780405402,0.796452701,0.796452701,0.80489862,0.815878391,0.80067569
